# --- TEST_START: 1746951002 ---
cool_tesla,0.14%,2.08GiB / 30.25GiB,9.55MB / 8.96MB
grafana,1.18%,84.64MiB / 30.25GiB,72.1kB / 103kB
prometheus,0.06%,61.5MiB / 30.25GiB,11.9MB / 3.47MB
backend-a-1,0.17%,713.3MiB / 30.25GiB,45MB / 54.9MB
myservice,0.12%,433.9MiB / 30.25GiB,278kB / 6.5MB
backend-b-1,0.20%,656MiB / 30.25GiB,38.9MB / 42.2MB
node-exporter,1.91%,16.02MiB / 30.25GiB,276kB / 5.44MB
cool_tesla,1.66%,2.08GiB / 30.25GiB,9.57MB / 8.98MB
grafana,1.36%,84.63MiB / 30.25GiB,72.1kB / 103kB
prometheus,0.00%,61.5MiB / 30.25GiB,12MB / 3.47MB
backend-a-1,6.99%,704.9MiB / 30.25GiB,45MB / 54.9MB
myservice,0.56%,433.9MiB / 30.25GiB,279kB / 6.52MB
backend-b-1,1.49%,654.3MiB / 30.25GiB,39MB / 42.2MB
node-exporter,0.00%,15.85MiB / 30.25GiB,276kB / 5.44MB
cool_tesla,111.89%,2.534GiB / 30.25GiB,14.1MB / 13.2MB
grafana,1.69%,84.63MiB / 30.25GiB,72.1kB / 103kB
prometheus,0.81%,61.5MiB / 30.25GiB,12MB / 3.47MB
backend-a-1,227.06%,710.1MiB / 30.25GiB,46.5MB / 56.7MB
myservice,0.10%,433.9MiB / 30.25GiB,279kB / 6.52MB
backend-b-1,59.18%,656.1MiB / 30.25GiB,40.9MB / 44.2MB
node-exporter,0.00%,16.03MiB / 30.25GiB,276kB / 5.45MB
cool_tesla,0.11%,2.604GiB / 30.25GiB,14.7MB / 13.7MB
grafana,1.30%,84.63MiB / 30.25GiB,72.1kB / 103kB
prometheus,0.32%,61.62MiB / 30.25GiB,12MB / 3.48MB
backend-a-1,0.18%,714.2MiB / 30.25GiB,47.4MB / 57.9MB
myservice,0.12%,433.9MiB / 30.25GiB,280kB / 6.53MB
backend-b-1,0.21%,655.8MiB / 30.25GiB,41.1MB / 44.5MB
node-exporter,1.65%,16.36MiB / 30.25GiB,277kB / 5.47MB
cool_tesla,0.12%,2.604GiB / 30.25GiB,14.7MB / 13.7MB
grafana,1.15%,84.63MiB / 30.25GiB,72.1kB / 103kB
prometheus,0.00%,61.63MiB / 30.25GiB,12MB / 3.48MB
backend-a-1,0.11%,714.2MiB / 30.25GiB,47.4MB / 57.9MB
myservice,0.17%,433.9MiB / 30.25GiB,281kB / 6.55MB
backend-b-1,0.13%,655.8MiB / 30.25GiB,41.1MB / 44.5MB
node-exporter,0.00%,16.36MiB / 30.25GiB,277kB / 5.47MB
cool_tesla,0.13%,2.604GiB / 30.25GiB,14.7MB / 13.8MB
grafana,1.26%,84.63MiB / 30.25GiB,72.1kB / 103kB
prometheus,0.02%,61.5MiB / 30.25GiB,12MB / 3.48MB
backend-a-1,0.12%,714.2MiB / 30.25GiB,47.4MB / 57.9MB
myservice,0.12%,433.9MiB / 30.25GiB,281kB / 6.55MB
backend-b-1,0.13%,655.8MiB / 30.25GiB,41.1MB / 44.5MB
node-exporter,1.64%,15.81MiB / 30.25GiB,278kB / 5.48MB
cool_tesla,0.11%,2.605GiB / 30.25GiB,14.7MB / 13.8MB
grafana,1.10%,84.63MiB / 30.25GiB,72.1kB / 103kB
prometheus,0.00%,61.5MiB / 30.25GiB,12.1MB / 3.48MB
backend-a-1,0.12%,714.2MiB / 30.25GiB,47.4MB / 57.9MB
myservice,0.11%,433.9MiB / 30.25GiB,281kB / 6.57MB
backend-b-1,0.11%,655.8MiB / 30.25GiB,41.1MB / 44.5MB
node-exporter,0.00%,15.76MiB / 30.25GiB,278kB / 5.48MB
cool_tesla,0.14%,2.605GiB / 30.25GiB,14.7MB / 13.8MB
grafana,1.25%,84.63MiB / 30.25GiB,72.1kB / 103kB
prometheus,0.66%,61.51MiB / 30.25GiB,12.1MB / 3.48MB
backend-a-1,0.12%,714.2MiB / 30.25GiB,47.4MB / 57.9MB
myservice,0.62%,433.9MiB / 30.25GiB,282kB / 6.59MB
backend-b-1,0.12%,655.8MiB / 30.25GiB,41.1MB / 44.5MB
node-exporter,0.00%,15.82MiB / 30.25GiB,279kB / 5.5MB
cool_tesla,0.14%,2.605GiB / 30.25GiB,14.7MB / 13.8MB
grafana,1.37%,84.63MiB / 30.25GiB,72.3kB / 103kB
prometheus,0.08%,61.5MiB / 30.25GiB,12.1MB / 3.48MB
backend-a-1,0.16%,714.2MiB / 30.25GiB,47.4MB / 57.9MB
myservice,0.14%,433.9MiB / 30.25GiB,282kB / 6.59MB
backend-b-1,0.14%,655.8MiB / 30.25GiB,41.1MB / 44.5MB
node-exporter,1.03%,14.71MiB / 30.25GiB,279kB / 5.51MB
cool_tesla,0.10%,2.605GiB / 30.25GiB,14.7MB / 13.8MB
grafana,1.11%,84.63MiB / 30.25GiB,72.3kB / 103kB
prometheus,0.00%,61.51MiB / 30.25GiB,12.1MB / 3.48MB
backend-a-1,0.26%,714.3MiB / 30.25GiB,47.4MB / 57.9MB
myservice,0.12%,433.9MiB / 30.25GiB,283kB / 6.6MB
backend-b-1,0.13%,655.8MiB / 30.25GiB,41.1MB / 44.5MB
node-exporter,0.00%,14.71MiB / 30.25GiB,279kB / 5.51MB
cool_tesla,0.14%,2.605GiB / 30.25GiB,14.7MB / 13.8MB
grafana,1.29%,84.63MiB / 30.25GiB,72.3kB / 103kB
prometheus,0.72%,61.51MiB / 30.25GiB,12.1MB / 3.48MB
backend-a-1,0.13%,714.2MiB / 30.25GiB,47.4MB / 57.9MB
myservice,0.13%,433.9MiB / 30.25GiB,283kB / 6.6MB
backend-b-1,0.13%,655.8MiB / 30.25GiB,41.1MB / 44.5MB
node-exporter,0.00%,15.67MiB / 30.25GiB,280kB / 5.53MB
